,forest,hdi,inflation,infant_mortality,gdp,gni,population,unemployment,country_id
forest,,,,,,,,,139.0
forest,1.0,-0.3957921950062717,0.09269749218282104,0.40149344111883073,-0.3067132114563258,-0.4154942963998459,0.5529285040882048,-0.4833261443337385,193.0
forest,1.0,-0.634830509016581,-0.4010941073796731,0.07800720051225722,-0.08582995261847323,-0.029741599053718818,0.35429964788092283,-0.9460660094343853,0.0
forest,1.0,0.34467545974910296,,0.25298010597133436,0.027217547109290453,0.12412509120513378,0.6826363334082929,0.47987200083173515,96.0
forest,1.0,-0.13565618302055818,0.27294933975505153,0.016040367265644777,-0.14113886378089152,-0.2934550505404908,-0.8713459178508195,-0.9220669162642757,148.0
forest,1.0,-0.12437883215035216,-0.41034944354368824,0.058626367862024964,-0.4412028099000335,-0.5941769577464091,-0.20224352559800352,0.5391011141336676,218.0
forest,1.0,-0.1988715891102698,-0.4623742436179911,0.7807021717225414,-0.15428469162145284,-0.2129296666204311,0.07211664613411825,0.6202454954124629,209.0
forest,1.0,-0.076235574250061,0.16614266195947772,0.6016711786674561,-0.17051878524020805,-0.10533814309715259,0.217163695526975,0.6359787429893965,150.0
forest,1.0,0.3552851441879731,-0.3453616992069579,-0.20127057320239214,-0.595144417156142,-0.6812752505683216,0.9714317819019856,-0.7969850689839298,140.0
forest,,,,,,,,,64.0
forest,1.0,0.3832351870510163,-0.03193248879491095,-0.45399185866811087,-0.11910370615002583,-0.037889724879962866,-0.4410434695059884,0.4182283909124078,210.0
forest,1.0,0.12993877859543732,,-0.14919313256190972,0.4815333130931981,0.37524501294454604,0.277567054689905,0.7346840269769302,88.0
forest,1.0,-0.22369958332074466,0.3142408557430488,-0.8014248223790904,0.04216851403453075,0.04143381076437436,-0.7354260058739381,0.5208352804135236,43.0
forest,1.0,-0.4023662169419918,0.8071406105405449,-0.2804798933054723,0.10919608246331942,0.10747845948098672,0.6337071092189305,0.27623240681106337,38.0
forest,1.0,0.384249987184304,0.5209854665205401,-0.38798424511813534,-0.019544499320892455,0.1671296541587516,0.9972747296702106,-0.4422812176151996,99.0
forest,1.0,0.5000088302516131,0.5031051168048576,-0.7469707763969392,0.09057646866628512,0.10834097032021554,0.9864635007676167,,128.0
forest,1.0,-0.02436305578466609,-0.5241908588652379,-0.564434399234821,0.19172260150366374,0.2160057228854249,0.1577918212039457,-0.7361776561977048,167.0
forest,1.0,-0.6740406608285675,-0.2642085093623439,0.4185008404567312,-0.23176196607311345,-0.2609660654421039,0.08340330982572365,-0.6110364789554662,8.0
forest,1.0,0.4539418575174642,0.27988832295376215,0.055574360021842316,-0.04594789773898415,-0.13297813577448722,0.5577252207563597,0.7783826964391768,129.0
forest,1.0,-0.5213278512110527,0.2455341737290742,0.8374871583843229,-0.2062795890534677,-0.34001530748739395,0.5624585107484532,0.9177303774344394,30.0
forest,1.0,-0.007519000373426418,0.2602261370785284,-0.46483595876780637,0.10735028339469935,0.1798213148035235,-0.22211016457338978,0.7033343366976064,113.0
forest,1.0,-0.36471820352937967,-0.001799902133676967,0.7757977603118265,-0.2212709208009485,-0.23995605541763898,0.8107432747541016,0.6207728188728193,31.0
forest,1.0,-0.17872973483997842,-0.5558930325585728,0.6049872376310946,-0.3393631672336507,-0.34162083210211097,-0.4620230322670125,0.11268393535682619,100.0
forest,1.0,-0.7014100807237639,-0.41996102491698956,-0.570670318916068,-0.1580571681208481,-0.11481962596841336,-0.9205619282239038,0.8834222961128658,122.0
